No,Sanatci / Ses Sahibi,Parca / Ses Adi,Aciklama / Hashtagler,Goruntulenme,Goruntulenme (Sayi),Olusturan
1,KURD UP,Originalton,#anılar,1186,1186,O bir defineci
2,Sevinç🦋,orijinal ses,#keşfet,1415,1415,O bir defineci
3,BABALARIN BABASI MÜSLÜM BABA,orijinal ses,"The support is unreal! Hit follow, join the fun #tiktoklive #livehighlights",1078,1078,O bir defineci
4,can 🌹,orijinal ses,#keşfet,2466,2466,O bir defineci
5,Burak_music44,Originalton,#anılar,6781,6781,O bir defineci
6,Mem Ararat,Xaçirêk,#keşfet,5713,5713,O bir defineci
7,⚔️JesusAs ⚔️,orijinal ses,#anılar,6696,6696,O bir defineci
8,Mem Ararat,Xaçirêk,#anılar,3473,3473,O bir defineci
9,delildilanarofficial,orijinal ses,#anılar,32K,32000,O bir defineci
10,ÇORUMLU HAKAN,orijinal ses,#anılar,2593,2593,O bir defineci
11,O bir defineci,orijinal ses,#anılar,1788,1788,O bir defineci
12,Yusuf Can Türkmen,orijinal ses,#anılar,13.1K,13100,O bir defineci
13,ℍ𝕀ℙ𝔼ℝ,orijinal ses,#trend #onthisday #parati #greenscreen #love,3485,3485,O bir defineci
14,KURD UP,Originalton,#anılar,12.8K,12800,O bir defineci
15,Bavê Can,الصوت الأصلي,#anılar,6095,6095,O bir defineci
16,muzik.kurdi1,orijinal ses,#anılar,5020,5020,O bir defineci
17,O bir defineci,orijinal ses,#anılar,2765,2765,O bir defineci
18,SİDRE,orijinal ses,#anılar,3474,3474,O bir defineci
19,ᴋᴜ̈ʀᴅ ᴍᴀᴍɪ̇,orijinal ses,#anılar,23.3K,23300,O bir defineci
20,🅑🅞🅩🅞,orijinal ses,#viraltiktok #keşfet,8370,8370,O bir defineci
21,delildilanarofficial,orijinal ses,#anılar,3175,3175,O bir defineci
22,O bir defineci,orijinal ses,#anılar,2621,2621,O bir defineci
23,Fettah Güven Diyadin 04,orijinal ses,#anılar,2541,2541,O bir defineci
24,Cemşi 21,orijinal ses,#anılar,2841,2841,O bir defineci
25,🎶MUHAMMET ARAS🎶FAN,orijinal ses,#keşfet #love #greenscreen #viraltiktok #öneal,44.5K,44500,O bir defineci
26,✹𓃵MͩEͤZͮOPͩOͤTͮAͬMͥYͫA✹𓃵,orijinal ses,,5058,5058,O bir defineci
27,𝔻𝕖𝕣𝕤𝕚𝕞𝕝𝕚 𝕞𝕦𝕣𝕒𝕥,orijinal ses,#anılar,2555,2555,O bir defineci
28,O bir defineci,orijinal ses,,8144,8144,O bir defineci
29,O bir defineci,orijinal ses,#anılar,3488,3488,O bir defineci
